Vial,Total mass (g),Tare (g),Sample mass (g),Time,Counted time (s),Dead time factor,¹⁸F (counts),¹⁸F (CPM),Normalized ¹⁸F (CPM)
1,6.2872,5.9863,0.3009,2022-05-31 13:24:42,30,1.396,631697,1764040,1947960
2,6.2685,5.9564,0.3121,2022-05-31 13:26:06,30,1.403,637844,1789803,1993821
3,6.1565,5.8511,0.3054,2022-05-31 13:27:30,30,1.393,627451,1748537,1965155
4,6.4856,5.8755,0.6101,2022-05-31 13:28:53,30,1.785,935230,3339153,3785997
5,6.5786,5.9778,0.6008,2022-05-31 13:30:17,30,1.761,924110,3253832,3721761
6,6.4254,5.8315,0.5939,2022-05-31 13:31:40,30,1.751,916338,3207867,3701585
1,6.2876,5.9863,0.3013,2022-05-31 14:55:46,30,1.223,421347,1030192,2021649
2,6.2678,5.9564,0.3114,2022-05-31 14:57:09,30,1.229,426487,1048021,2074767
3,6.1563,5.8511,0.3052,2022-05-31 14:58:33,30,1.219,417726,1018252,2033611
4,6.4850,5.8755,0.6095,2022-05-31 14:59:56,30,1.435,687533,1973543,3976028
5,6.5785,5.9778,0.6007,2022-05-31 15:01:19,30,1.426,674541,1923669,3909625
6,6.4263,5.8315,0.5948,2022-05-31 15:02:43,30,1.423,665694,1894585,3884569
1,,,0.3011,2022-05-31 15:50:31,30,1.159,317908,736939,2043377
2,,,0.3118,2022-05-31 15:51:30,30,1.160,322192,747447,2085440
3,,,0.3053,2022-05-31 15:52:29,30,1.158,316781,733907,2060403
4,,,0.6098,2022-05-31 15:53:28,30,1.315,546172,1436444,4057966
5,,,0.6008,2022-05-31 15:54:27,30,1.305,535692,1397986,3974007
6,,,0.5944,2022-05-31 15:55:26,30,1.299,529858,1376511,3937456
1,,,0.3011,2022-05-31 16:40:13,30,1.115,242893,541839,2056388
2,,,0.31175,2022-05-31 16:41:12,30,1.118,246763,551894,2107586
3,,,0.3053,2022-05-31 16:42:11,30,1.114,241377,537941,2067103
4,,,0.6098,2022-05-31 16:43:10,30,1.229,430980,1059144,4095362
5,,,0.60075,2022-05-31 16:44:10,30,1.223,421507,1031109,4011882
6,,,0.59435,2022-05-31 16:45:09,30,1.220,417498,1018607,3988005
1,,,0.3011,2022-05-31 17:29:54,30,1.085,182617,396127,2057472
2,,,0.31175,2022-05-31 17:30:53,30,1.086,185477,402827,2105289
3,,,0.3053,2022-05-31 17:31:52,30,1.084,181567,393525,2069443
4,,,0.6098,2022-05-31 17:32:51,30,1.168,334155,780572,4130475
5,,,0.60075,2022-05-31 17:33:50,30,1.162,327225,760487,4049265
6,,,0.59435,2022-05-31 17:34:49,30,1.161,321449,746173,3997810
1,,,0.3011,2022-05-31 18:19:37,30,1.064,136844,291072,2069182
2,,,0.31175,2022-05-31 18:20:35,30,1.062,139917,297183,2125735
3,,,0.3053,2022-05-31 18:21:34,30,1.061,135659,287807,2071428
4,,,0.6098,2022-05-31 18:22:33,30,1.122,255172,572802,4148273
5,,,0.60075,2022-05-31 18:23:32,30,1.120,249817,559580,4077769
6,,,0.59435,2022-05-31 18:24:31,30,1.117,245983,549654,4030376
1,,,0.3011,2022-05-31 19:09:16,30,1.046,102172,213632,2078109
2,,,0.31175,2022-05-31 19:10:15,30,1.046,104247,218139,2135091
3,,,0.3053,2022-05-31 19:11:14,30,1.044,100951,210864,2076696
4,,,0.6098,2022-05-31 19:12:13,30,1.090,193580,422036,4182266
5,,,0.60075,2022-05-31 19:13:12,30,1.087,188460,409822,4086453
6,,,0.59435,2022-05-31 19:14:11,30,1.086,185673,403393,4047363
1,,,0.3011,2022-05-31 19:58:56,30,1.033,75295,155491,2069683
2,,,0.31175,2022-05-31 19:59:55,30,1.033,76465,158001,2116093
3,,,0.3053,2022-05-31 20:00:54,30,1.032,75177,155199,2091452
4,,,0.6098,2022-05-31 20:01:52,30,1.065,143859,306442,4155190
5,,,0.60075,2022-05-31 20:02:51,30,1.063,140735,299260,4083003
6,,,0.59435,2022-05-31 20:03:50,30,1.062,139246,295801,4060808
1,,,0.3011,2022-05-31 20:48:37,30,1.024,55725,114100,2078382
2,,,0.31175,2022-05-31 20:49:36,30,1.025,56776,116377,2132975
3,,,0.3053,2022-05-31 20:50:35,30,1.024,55339,113286,2089401
4,,,0.6098,2022-05-31 20:51:34,30,1.048,107534,225357,4182153
5,,,0.60075,2022-05-31 20:52:33,30,1.047,105563,220993,4126554
6,,,0.59435,2022-05-31 20:53:31,30,1.046,103848,217312,4082929
1,,,0.3011,2022-05-31 21:38:21,30,1.018,40858,83190,2074316
2,,,0.31175,2022-05-31 21:39:20,30,1.018,41888,85274,2139639
