Vial,Total mass (g),Tare (g),Sample mass (g),Time,Counted time (s),Dead time factor,¹⁸F (counts),¹⁸F (CPM),Normalized ¹⁸F (CPM)
1,9.2165,8.6872,0.5293,2022-05-31 13:58:29,60,1.446,1375136,1988517,2717838
2,9.6619,8.6450,1.0169,2022-05-31 14:00:22,60,1.964,2069451,4064574,5621874
3,10.3728,8.6680,1.7048,2022-05-31 14:02:16,60,2.464,2398002,5908543,8270606
4,11.1146,8.5725,2.5421,2022-05-31 14:04:09,60,2.878,2583310,7435448,10532511
5,11.5561,8.5185,3.0376,2022-05-31 14:06:01,60,3.269,2692020,8798697,12612135
6,11.6700,8.5248,3.1452,2022-05-31 14:07:56,60,3.677,2738217,10068085,14606315
7,12.2195,8.5200,3.6995,2022-05-31 14:09:48,60,4.015,2773533,11136078,16348551
8,12.6152,8.5867,4.0285,2022-05-31 14:11:41,60,4.149,2780749,11537739,17140499
1,9.2166,8.6872,0.5294,2022-05-31 15:04:48,60,1.294,1033344,1337593,2779033
2,9.6623,8.6450,1.0173,2022-05-31 15:06:41,60,1.634,1703914,2783506,5852313
3,10.3710,8.6680,1.7030,2022-05-31 15:08:34,60,1.960,2092144,4100957,8725577
4,11.1142,8.5725,2.5417,2022-05-31 15:10:27,60,2.233,2339696,5224654,11248675
5,11.5566,8.5185,3.0381,2022-05-31 15:12:20,60,2.482,2499471,6202777,13514620
6,11.6698,8.5248,3.1450,2022-05-31 15:14:13,60,2.743,2612750,7166302,15800957
7,12.2196,8.5200,3.6996,2022-05-31 15:16:05,60,2.960,2701720,7996014,17840107
8,12.6157,8.5867,4.0290,2022-05-31 15:17:59,60,3.074,2731663,8395860,18956762
1,,,0.5293,2022-05-31 15:57:24,60,1.211,801099,969687,2808255
2,,,1.0171,2022-05-31 15:58:53,60,1.454,1403283,2040619,5965431
3,,,1.7039,2022-05-31 16:00:23,60,1.690,1799948,3041258,8974875
4,,,2.5419,2022-05-31 16:01:52,60,1.888,2068173,3905222,11632834
5,,,3.0379,2022-05-31 16:03:20,60,2.069,2259460,4675132,14057216
6,,,3.1451,2022-05-31 16:04:50,60,2.263,2410878,5455113,16557754
7,,,3.6996,2022-05-31 16:06:19,60,2.428,2525932,6131573,18785608
8,,,4.0288,2022-05-31 16:07:47,60,2.506,2567307,6432714,19893061
1,,,0.52935,2022-05-31 16:47:06,60,1.155,618521,714465,2831927
2,,,1.0171,2022-05-31 16:48:35,60,1.332,1136236,1513454,6055325
3,,,1.7039,2022-05-31 16:50:04,60,1.505,1510980,2274442,9185959
4,,,2.5419,2022-05-31 16:51:34,60,1.647,1771899,2918075,11896988
5,,,3.03785,2022-05-31 16:53:02,60,1.782,1973442,3515821,14468305
6,,,3.1451,2022-05-31 16:54:31,60,1.921,2140095,4111114,17077137
7,,,3.69955,2022-05-31 16:56:00,60,2.041,2274951,4642157,19464501
8,,,4.02875,2022-05-31 16:57:29,60,2.094,2324011,4867379,20600870
1,,,0.52935,2022-05-31 17:36:46,60,1.112,470698,523426,2839131
2,,,1.0171,2022-05-31 17:38:15,60,1.243,899321,1117863,6120316
3,,,1.7039,2022-05-31 17:39:44,60,1.368,1228371,1680153,9285551
4,,,2.5419,2022-05-31 17:41:13,60,1.472,1476148,2172462,12119557
5,,,3.03785,2022-05-31 17:42:43,60,1.571,1669713,2623595,14774597
6,,,3.1451,2022-05-31 17:44:12,60,1.674,1840584,3080157,17509624
7,,,3.69955,2022-05-31 17:45:42,60,1.756,1979728,3475260,19942808
8,,,4.02875,2022-05-31 17:47:11,60,1.796,2032781,3651276,21151680
1,,,0.52935,2022-05-31 18:26:28,60,1.082,355000,384198,2852000
2,,,1.0171,2022-05-31 18:27:57,60,1.177,698576,821909,6158950
3,,,1.7039,2022-05-31 18:29:26,60,1.269,978597,1241972,9394002
4,,,2.5419,2022-05-31 18:30:55,60,1.346,1196104,1609921,12291532
5,,,3.03785,2022-05-31 18:32:24,60,1.418,1375046,1949927,15027693
6,,,3.1451,2022-05-31 18:33:53,60,1.490,1534982,2287013,17791891
