Total mass (g),Tare (g),Sample mass (g),Time,Counted time (s),Dead time factor,¹⁸F (counts),¹⁸F (CPM),Normalized ¹⁸F (CPM)
8.6639,8.4844,0.1795,2021-10-20 12:47,60,1.011,52371,52961,66965
8.6719,8.461,0.2109,2021-10-20 12:49,60,1.011,51037,51610,66033
8.7629,8.4844,0.2785,2021-10-20 13:04,60,1.01,46878,47356,66397
8.7704,8.461,0.3094,2021-10-20 13:06,60,1.01,46174,46639,66179
8.8618,8.4844,0.3774,2021-10-20 13:16,60,1.01,43658,44073,66686
8.8699,8.461,0.4089,2021-10-20 13:18,60,1.009,42522,42923,65732
8.9609,8.4844,0.4765,2021-10-20 13:28,60,1.009,40341,40685,66571
8.9702,8.461,0.5092,2021-10-20 13:30,60,1.009,39225,39565,65525
9.116,8.4844,0.6316,2021-10-20 13:41,60,1.008,36714,37015,65584
9.0926,8.461,0.6316,2021-10-20 13:43,60,1.008,36445,36734,65874
9.2171,8.4844,0.7327,2021-10-20 13:55,60,1.007,33703,33948,65872
9.197,8.461,0.736,2021-10-20 13:57,60,1.007,33282,33517,65823
9.3201,8.4844,0.8357,2021-10-20 14:29,60,1.006,27423,27591,66028
9.2989,8.461,0.8379,2021-10-20 14:30,60,1.006,26758,26914,65188
9.419,8.4844,0.9346,2021-10-20 14:43,60,1.006,24850,24990,65606
9.3968,8.461,0.9358,2021-10-20 14:45,60,1.005,24484,24615,65403
9.519,8.4844,1.0346,2021-10-20 14:58,60,1.005,22607,22720,65564
9.4979,8.461,1.0369,2021-10-20 15:00,60,1.005,22113,22218,64897
9.6388,8.4844,1.1544,2021-10-20 15:20,60,1.004,19835,19919,66187
9.6166,8.461,1.1556,2021-10-20 15:23,60,1.004,19181,19261,64936
9.7195,8.4844,1.2351,2021-10-20 15:36,60,1.004,17824,17894,65522
9.6971,8.461,1.2361,2021-10-20 15:38,60,1.004,17483,17550,65037
9.819,8.4844,1.3346,2021-10-20 15:55,60,1.003,15734,15786,65079
9.7966,8.461,1.3356,2021-10-20 15:57,60,1.003,15396,15447,64449
9.9165,8.4844,1.4321,2021-10-20 16:19,60,1.003,13551,13593,65307
9.8933,8.461,1.4323,2021-10-20 16:21,60,1.003,13434,13473,65505
10.0711,8.4844,1.5867,2021-10-20 16:30,60,1.003,12717,12754,65610
10.0084,8.461,1.5474,2021-10-20 16:33,60,1.003,12303,12336,64789
10.2229,8.4844,1.7385,2021-10-20 16:43,60,1.003,11681,11711,65704
10.1527,8.461,1.6917,2021-10-20 16:45,60,1.002,11280,11308,64208
10.3211,8.4844,1.8367,2021-10-20 16:54,60,1.002,10758,10784,64803
10.2506,8.461,1.7896,2021-10-20 16:56,60,1.002,10545,10570,64273
10.4204,8.4844,1.936,2021-10-20 17:18,60,1.002,9287,9306,65104
10.3484,8.461,1.8874,2021-10-20 17:20,60,1.002,8977,8995,63682
10.519,8.4844,2.0346,2021-10-20 17:29,60,1.002,8590,8606,64477
10.4499,8.461,1.9889,2021-10-20 17:31,60,1.002,8496,8511,64534
10.6174,8.4844,2.133,2021-10-20 17:40,60,1.002,7974,7989,64096
10.5511,8.461,2.0901,2021-10-20 17:42,60,1.002,7955,7969,64706
10.7189,8.4844,2.2345,2021-10-20 17:51,60,1.002,7584,7596,65261
10.6491,8.461,2.1881,2021-10-20 17:53,60,1.002,7342,7354,63940
10.8189,8.4844,2.3345,2021-10-20 18:02,60,1.002,7126,7137,65662
10.7481,8.461,2.2871,2021-10-20 18:04,60,1.002,7164,7176,66807
10.9732,8.4844,2.4888,2021-10-20 18:13,60,1.001,6472,6481,63856
10.9024,8.461,2.4414,2021-10-20 18:15,60,1.001,6405,6414,63957
11.0709,8.4844,2.5865,2021-10-20 18:23,60,1.001,6259,6267,66126
11.0003,8.461,2.5393,2021-10-20 18:25,60,1.001,5966,5974,63788
11.1732,8.4844,2.6888,2021-10-20 18:34,60,1.001,5755,5762,65088
11.1034,8.461,2.6424,2021-10-20 18:36,60,1.001,5587,5594,63948
11.2722,8.4844,2.7878,2021-10-20 18:45,60,1.001,5195,5201,62905
11.2009,8.461,2.7399,2021-10-20 18:47,60,1.001,5201,5207,63733
11.3921,8.4844,2.9077,2021-10-20 18:57,60,1.001,4968,4973,64647
11.2995,8.461,2.8385,2021-10-20 18:58,60,1.001,4824,4830,63531
11.4714,8.4844,2.987,2021-10-20 19:07,60,1.001,4611,4615,64230
11.3979,8.461,2.9369,2021-10-20 19:09,60,1.001,4460,4464,62869
11.5715,8.4844,3.0871,2021-10-20 19:18,60,1.001,4389,4393,65469
11.4992,8.461,3.0382,2021-10-20 19:20,60,1.001,4259,4263,64281
11.7271,8.4844,3.2427,2021-10-20 19:29,60,1.001,3980,3984,63579
11.6535,8.461,3.1925,2021-10-20 19:31,60,1.001,4037,4040,65257
11.8784,8.4844,3.394,2021-10-20 19:37,60,1.001,3825,3828,64079
11.8063,8.461,3.3453,2021-10-20 19:38,60,1.001,3697,3700,62672
12.0342,8.4844,3.5498,2021-10-20 19:44,60,1.001,3518,3521,61732
11.9623,8.461,3.5013,2021-10-20 19:46,60,1.001,3510,3513,62326
12.1331,8.4844,3.6487,2021-10-20 19:52,60,1.001,3397,3400,62591
12.0625,8.461,3.6015,2021-10-20 19:54,60,1.001,3303,3305,61580
12.2329,8.4844,3.7485,2021-10-20 19:59,60,1.001,3298,3300,63591
12.162,8.461,3.701,2021-10-20 20:01,60,1.001,3216,3218,62758
12.3524,8.4844,3.868,2021-10-20 20:07,60,1.001,3065,3067,62311
12.2628,8.461,3.8018,2021-10-20 20:09,60,1.001,2977,2979,61256
12.43,8.4844,3.9456,2021-10-20 20:14,60,1.001,2931,2933,62365
12.3763,8.461,3.9153,2021-10-20 20:18,60,1.001,2797,2799,60677
12.5842,8.4844,4.0998,2021-10-20 20:23,60,1.001,2768,2770,62355
12.5142,8.461,4.0532,2021-10-20 20:25,60,1.001,2557,2558,58291
12.6839,8.4844,4.1995,2021-10-20 20:31,60,1.001,2614,2615,61621
12.6137,8.461,4.1527,2021-10-20 20:33,60,1.001,2463,2465,58765
12.785,8.4844,4.3006,2021-10-20 20:38,60,1.001,2540,2541,62848
12.7145,8.461,4.2535,2021-10-20 20:40,60,1.001,2355,2356,58972
12.8849,8.4844,4.4005,2021-10-20 20:46,60,1.001,2319,2320,60044
12.8131,8.461,4.3521,2021-10-20 20:47,60,1.001,2388,2389,62570
