Vial,Total mass (g),Tare (g),Sample mass (g),Time,Counted time (s),Dead time factor,¹?F (counts),¹?F (CPM),Normalized ¹?F (CPM)
1,2.4813,,,2022-06-30 13:28,60,1,37,37,89
4,2.6428,,,2022-06-30 13:33,60,1,40,40,100
1,,,,2022-06-30 13:57,60,1,40,40,116
4,,,,2022-06-30 14:02,60,1,34,34,102
1,,,,2022-06-30 14:19,60,1,43,43,143
4,,,,2022-06-30 14:24,60,1,37,37,127
1,,,,2022-06-30 14:41,60,1,38,38,145
4,,,,2022-06-30 14:45,60,1,38,38,149
1,,,,2022-06-30 15:03,60,1,42,42,184
4,,,,2022-06-30 15:07,60,1,45,45,203
