Vial,Total mass (g),Tare (g),Sample mass (g),Time,Counted time (s),Dead time factor,¹?F (counts),¹?F (CPM),Normalized ¹?F (CPM)
2,9.1098,8.5957,0.5141,2022-06-30 13:41,60,1.016,73642,74836,195763
3,9.5298,8.6378,0.892,2022-06-30 13:43,60,1.031,137741,141973,375804
4,9.9539,8.469,1.4849,2022-06-30 13:45,60,1.045,199661,208579,558679
5,10.5988,8.4723,2.1265,2022-06-30 13:46,60,1.059,257676,272761,739334
6,11.1553,8.6376,2.5177,2022-06-30 13:48,60,1.071,310166,332152,911066
7,11.6068,8.6472,2.9596,2022-06-30 13:50,60,1.081,359923,389215,1080390
8,12.011,8.6036,3.4074,2022-06-30 13:52,60,1.09,401020,437162,1227975
9,12.4677,8.4639,4.0038,2022-06-30 13:54,60,1.097,433319,475352,1351219
2,,,0.5141,2022-06-30 14:05,60,1.014,62600,63464,193669
3,,,0.892,2022-06-30 14:07,60,1.026,118899,122044,375930
4,,,1.4849,2022-06-30 14:08,60,1.039,172855,179501,558122
5,,,2.1265,2022-06-30 14:10,60,1.05,223900,235190,738170
6,,,2.5177,2022-06-30 14:11,60,1.062,272264,289074,915871
7,,,2.9596,2022-06-30 14:13,60,1.07,315436,337597,1079704
8,,,3.4074,2022-06-30 14:14,60,1.079,353064,380888,1229674
9,,,4.0038,2022-06-30 14:16,60,1.085,380983,413445,1347397
2,,,0.5141,2022-06-30 14:27,60,1.012,54709,55369,193963
3,,,0.892,2022-06-30 14:29,60,1.023,103579,105967,374697
4,,,1.4849,2022-06-30 14:30,60,1.034,151825,156940,560147
5,,,2.1265,2022-06-30 14:31,60,1.044,196389,204985,738513
6,,,2.5177,2022-06-30 14:33,60,1.053,240103,252905,919744
7,,,2.9596,2022-06-30 14:34,60,1.061,277669,294702,1081854
8,,,3.4074,2022-06-30 14:36,60,1.069,311476,332842,1233418
9,,,4.0038,2022-06-30 14:37,60,1.074,335927,360819,1349733
2,,,0.5141,2022-06-30 14:49,60,1.01,47744,48244,193841
3,,,0.892,2022-06-30 14:50,60,1.02,90888,92716,376021
4,,,1.4849,2022-06-30 14:52,60,1.029,133149,137038,560989
5,,,2.1265,2022-06-30 14:53,60,1.038,172624,179244,740660
6,,,2.5177,2022-06-30 14:55,60,1.046,210594,220282,918782
7,,,2.9596,2022-06-30 14:56,60,1.053,242645,255526,1075821
8,,,3.4074,2022-06-30 14:58,60,1.059,273122,289344,1229689
9,,,4.0038,2022-06-30 14:59,60,1.065,296307,315527,1353627
2,,,0.5141,2022-06-30 15:10,60,1.009,41530,41919,193172
3,,,0.892,2022-06-30 15:12,60,1.018,79611,81006,376793
4,,,1.4849,2022-06-30 15:13,60,1.026,116790,119779,562380
5,,,2.1265,2022-06-30 15:15,60,1.033,151900,156939,743773
6,,,2.5177,2022-06-30 15:16,60,1.041,184620,192183,919371
7,,,2.9596,2022-06-30 15:18,60,1.046,213231,223122,1077408
8,,,3.4074,2022-06-30 15:19,60,1.052,241334,253977,1237951
9,,,4.0038,2022-06-30 15:21,60,1.057,260030,274777,1351949
