Vial,Total mass (g),Tare (g),Sample mass (g),Time,Counted time (s),Dead time factor,¹?F (counts),¹?F (CPM),Normalized ¹?F (CPM)
2,6.2849,5.8352,0.4497,2022-06-30 13:30,60,1.011,47470,47973,117008
3,6.6246,6.0011,0.6235,2022-06-30 13:32,60,1.02,90703,92498,228284
2,,,0.4497,2022-06-30 13:59,60,1.009,39317,39659,116373
3,,,0.6235,2022-06-30 14:00,60,1.017,75833,77092,228336
2,,,0.4497,2022-06-30 14:21,60,1.008,34652,34914,117442
3,,,0.6235,2022-06-30 14:22,60,1.015,66513,67486,229134
2,,,0.4497,2022-06-30 14:42,60,1.006,30057,30248,116699
3,,,0.6235,2022-06-30 14:44,60,1.013,58138,58874,229290
2,,,0.4497,2022-06-30 15:04,60,1.006,26462,26612,117746
3,,,0.6235,2022-06-30 15:06,60,1.011,51074,51649,230690
