Vial,Total mass (g),Tare (g),Sample mass (g),Time,Counted time (s),Dead time factor,¹⁸F (counts),¹⁸F (CPM),¹⁸F (Bq)
1,6.3442,5.9976,0.3466,2024-05-01 18:47,60,1.11,455668,505683,8428
2,6.362,6.0244,0.3376,2024-05-01 18:49,60,1.107,448220,496050,8267
3,6.4156,6.0718,0.3438,2024-05-01 18:50,60,1.109,458055,508142,8469
4,6.3584,6.0145,0.3439,2024-05-01 18:52,60,1.105,445455,492421,8207
5,6.565,5.9141,0.6509,2024-05-01 18:53,60,1.207,789033,952515,15875
6,6.6466,5.9963,0.6503,2024-05-01 18:55,60,1.21,784079,948879,15815
7,6.5358,5.8909,0.6449,2024-05-01 18:56,60,1.202,774038,930094,15502
8,6.5732,5.924,0.6492,2024-05-01 18:57,60,1.202,770358,925674,15428
9,6.9008,5.8396,1.0612,2024-05-01 18:59,60,1.335,1129751,1508688,25145
10,7.1005,6.0185,1.082,2024-05-01 19:00,60,1.336,1134015,1515452,25258
1,,,,2024-05-01 19:03,60,1.099,419552,461006,7683
2,,,,2024-05-01 19:04,60,1.098,410615,450678,7511
3,,,,2024-05-01 19:06,60,1.099,421289,463100,7718
4,,,,2024-05-01 19:07,60,1.096,409351,448443,7474
5,,,,2024-05-01 19:09,60,1.188,729465,866367,14439
6,,,,2024-05-01 19:10,60,1.189,725944,863137,14386
7,,,,2024-05-01 19:12,60,1.182,714506,844413,14074
8,,,,2024-05-01 19:13,60,1.182,710908,840613,14010
9,,,,2024-05-01 19:15,60,1.302,1049338,1366222,22770
10,,,,2024-05-01 19:16,60,1.306,1056651,1379680,22995
1,,,,2024-05-01 19:19,60,1.09,382913,417407,6957
2,,,,2024-05-01 19:20,60,1.087,376069,408882,6815
3,,,,2024-05-01 19:22,60,1.09,384818,419384,6990
4,,,,2024-05-01 19:23,60,1.087,374565,407058,6784
5,,,,2024-05-01 19:25,60,1.17,671750,785809,13097
6,,,,2024-05-01 19:26,60,1.171,669784,784387,13073
7,,,,2024-05-01 19:28,60,1.165,656613,765103,12752
8,,,,2024-05-01 19:29,60,1.165,654995,762889,12715
9,,,,2024-05-01 19:31,60,1.275,975787,1243928,20732
10,,,,2024-05-01 19:32,60,1.276,983047,1254569,20909
1,,,,2024-05-01 19:34,60,1.081,350872,379289,6321
2,,,,2024-05-01 19:36,60,1.079,343168,370398,6173
3,,,,2024-05-01 19:37,60,1.081,351763,380322,6339
4,,,,2024-05-01 19:39,60,1.079,341048,367887,6131
5,,,,2024-05-01 19:40,60,1.155,618095,714031,11901
6,,,,2024-05-01 19:42,60,1.156,615296,711306,11855
7,,,,2024-05-01 19:43,60,1.15,603860,694594,11577
8,,,,2024-05-01 19:45,60,1.149,601607,691151,11519
9,,,,2024-05-01 19:46,60,1.248,906553,1130953,18849
10,,,,2024-05-01 19:48,60,1.249,909478,1135596,18927
1,,,,2024-05-01 19:51,60,1.073,319998,343403,5723
2,,,,2024-05-01 19:52,60,1.072,312951,335327,5589
3,,,,2024-05-01 19:54,60,1.074,321863,345592,5760
4,,,,2024-05-01 19:55,60,1.071,311086,333161,5553
5,,,,2024-05-01 19:56,60,1.142,568894,649451,10824
6,,,,2024-05-01 19:58,60,1.139,563729,642254,10704
7,,,,2024-05-01 19:59,60,1.135,555315,630459,10508
8,,,,2024-05-01 20:01,60,1.135,551689,626115,10435
9,,,,2024-05-01 20:02,60,1.224,837268,1024787,17080
10,,,,2024-05-01 20:04,60,1.226,843215,1034091,17235
1,,,,2024-05-01 20:06,60,1.066,291419,310735,5179
2,,,,2024-05-01 20:08,60,1.065,285795,304405,5073
3,,,,2024-05-01 20:09,60,1.067,292356,311823,5197
4,,,,2024-05-01 20:11,60,1.064,283468,301572,5026
5,,,,2024-05-01 20:12,60,1.127,520656,586649,9777
6,,,,2024-05-01 20:14,60,1.126,517949,583226,9720
7,,,,2024-05-01 20:15,60,1.122,509068,570984,9516
8,,,,2024-05-01 20:17,60,1.122,505752,567397,9457
9,,,,2024-05-01 20:18,60,1.203,773502,930723,15512
10,,,,2024-05-01 20:20,60,1.204,776652,935393,15590
1,,,,2024-05-01 20:22,60,1.061,265375,281433,4691
2,,,,2024-05-01 20:24,60,1.058,259978,275166,4586
3,,,,2024-05-01 20:25,60,1.06,265716,281700,4695
4,,,,2024-05-01 20:27,60,1.058,258704,273722,4562
5,,,,2024-05-01 20:28,59,1.115,468458,532120,8869
6,,,,2024-05-01 20:30,60,1.115,473522,527928,8799
7,,,,2024-05-01 20:31,60,1.111,465245,516803,8613
8,,,,2024-05-01 20:33,60,1.11,463476,514457,8574
9,,,,2024-05-01 20:34,60,1.184,713578,844754,14079
10,,,,2024-05-01 20:36,60,1.185,716748,848966,14149
1,,,,2024-05-01 20:38,60,1.055,242202,255449,4257
2,,,,2024-05-01 20:39,60,1.054,236943,249616,4160
3,,,,2024-05-01 20:41,60,1.054,242925,256054,4268
4,,,,2024-05-01 20:42,60,1.052,234751,247049,4117
5,,,,2024-05-01 20:44,60,1.105,438172,484198,8070
6,,,,2024-05-01 20:45,60,1.104,434303,479414,7990
7,,,,2024-05-01 20:47,60,1.1,425923,468509,7808
8,,,,2024-05-01 20:48,60,1.099,424037,466074,7768
9,,,,2024-05-01 20:50,60,1.166,655968,764890,12748
10,,,,2024-05-01 20:51,60,1.167,662510,773188,12886
1,,,,2024-05-01 20:54,60,1.049,220690,231458,3858
2,,,,2024-05-01 20:55,60,1.048,216189,226547,3776
3,,,,2024-05-01 20:57,60,1.049,220627,231484,3858
4,,,,2024-05-01 20:58,60,1.048,214949,225178,3753
5,,,,2024-05-01 21:00,60,1.094,399998,437533,7292
6,,,,2024-05-01 21:01,60,1.094,397402,434906,7248
7,,,,2024-05-01 21:03,60,1.091,389240,424627,7077
8,,,,2024-05-01 21:04,60,1.09,388700,423832,7064
9,,,,2024-05-01 21:06,60,1.149,603555,693573,11560
10,,,,2024-05-01 21:07,60,1.151,606910,698725,11645
1,,,,2024-05-01 21:10,60,1.045,200702,209691,3495
2,,,,2024-05-01 21:11,60,1.044,196911,205576,3426
3,,,,2024-05-01 21:13,60,1.044,200666,209529,3492
4,,,,2024-05-01 21:14,60,1.043,194727,203170,3386
5,,,,2024-05-01 21:16,60,1.085,366208,397496,6625
6,,,,2024-05-01 21:17,60,1.086,362872,393984,6566
7,,,,2024-05-01 21:19,60,1.082,354848,383957,6399
8,,,,2024-05-01 21:20,60,1.083,354157,383364,6389
9,,,,2024-05-01 21:22,60,1.136,554361,629525,10492
10,,,,2024-05-01 21:23,60,1.137,557674,633779,10563
1,,,,2024-05-01 21:25,60,1.04,181882,189221,3154
2,,,,2024-05-01 21:27,60,1.04,178477,185567,3093
3,,,,2024-05-01 21:28,60,1.04,182493,189854,3164
4,,,,2024-05-01 21:30,60,1.039,177132,184006,3067
5,,,,2024-05-01 21:31,60,1.077,334654,360525,6009
6,,,,2024-05-01 21:33,60,1.077,331225,356635,5944
7,,,,2024-05-01 21:34,60,1.074,325144,349267,5821
8,,,,2024-05-01 21:36,60,1.074,323401,347450,5791
9,,,,2024-05-01 21:37,60,1.123,508606,571008,9517
10,,,,2024-05-01 21:39,60,1.124,510797,574111,9569
1,,,,2024-05-01 21:41,60,1.037,165801,171845,2864
2,,,,2024-05-01 21:43,60,1.036,161974,167771,2796
3,,,,2024-05-01 21:44,60,1.037,166266,172405,2873
4,,,,2024-05-01 21:46,60,1.035,161330,166976,2783
5,,,,2024-05-01 21:47,60,1.07,304160,325299,5422
6,,,,2024-05-01 21:49,60,1.07,302175,323362,5389
7,,,,2024-05-01 21:50,60,1.068,297029,317127,5285
8,,,,2024-05-01 21:52,60,1.067,294927,314629,5244
9,,,,2024-05-01 21:53,60,1.111,465123,516904,8615
10,,,,2024-05-01 21:55,60,1.113,468068,520855,8681
1,,,,2024-05-01 21:57,60,1.033,149697,154592,2577
2,,,,2024-05-01 21:59,60,1.032,147631,152378,2540
3,,,,2024-05-01 22:00,60,1.033,151178,156194,2603
4,,,,2024-05-01 22:01,60,1.032,146368,151017,2517
5,,,,2024-05-01 22:03,60,1.063,277763,295328,4922
6,,,,2024-05-01 22:04,60,1.064,275333,292902,4882
7,,,,2024-05-01 22:06,60,1.061,270043,286607,4777
8,,,,2024-05-01 22:07,60,1.061,267841,284155,4736
9,,,,2024-05-01 22:09,60,1.101,426160,469040,7817
10,,,,2024-05-01 22:10,60,1.101,428981,472318,7872
1,,,,2024-05-01 22:13,60,1.03,136349,140427,2340
2,,,,2024-05-01 22:14,60,1.029,133847,137714,2295
3,,,,2024-05-01 22:16,60,1.03,137390,141464,2358
4,,,,2024-05-01 22:17,60,1.029,133003,136817,2280
5,,,,2024-05-01 22:19,60,1.057,253393,267947,4466
6,,,,2024-05-01 22:20,60,1.057,250934,265200,4420
7,,,,2024-05-01 22:22,60,1.055,245136,258712,4312
8,,,,2024-05-01 22:23,60,1.055,244375,257807,4297
9,,,,2024-05-01 22:25,60,1.091,388554,423955,7066
10,,,,2024-05-01 22:26,60,1.092,392203,428235,7137
1,,,,2024-05-01 22:29,60,1.027,123691,127009,2117
2,,,,2024-05-01 22:30,60,1.026,121170,124369,2073
3,,,,2024-05-01 22:32,60,1.027,124617,128015,2134
4,,,,2024-05-01 22:33,60,1.026,120431,123604,2060
5,,,,2024-05-01 22:35,60,1.052,230273,242185,4036
6,,,,2024-05-01 22:36,60,1.052,228843,240748,4012
7,,,,2024-05-01 22:38,60,1.05,223223,234359,3906
8,,,,2024-05-01 22:39,60,1.049,222147,233102,3885
9,,,,2024-05-01 22:41,60,1.082,354345,383458,6391
10,,,,2024-05-01 22:42,60,1.083,357562,387381,6456
1,,,,2024-05-01 22:44,60,1.024,112393,115141,1919
2,,,,2024-05-01 22:46,60,1.024,109912,112536,1876
3,,,,2024-05-01 22:47,60,1.025,112863,115626,1927
4,,,,2024-05-01 22:49,60,1.024,109851,112429,1874
5,,,,2024-05-01 22:50,60,1.047,209505,219362,3656
6,,,,2024-05-01 22:52,60,1.047,208050,217747,3629
7,,,,2024-05-01 22:53,60,1.045,203704,212914,3549
8,,,,2024-05-01 22:55,60,1.045,202425,211587,3526
9,,,,2024-05-01 22:56,60,1.074,324356,348497,5808
10,,,,2024-05-01 22:58,60,1.075,325876,350411,5840
1,,,,2024-05-01 23:01,60,1.022,101563,103808,1730
2,,,,2024-05-01 23:02,60,1.021,100024,102162,1703
3,,,,2024-05-01 23:04,60,1.022,103080,105378,1756
4,,,,2024-05-01 23:05,60,1.022,99246,101384,1690
5,,,,2024-05-01 23:06,60,1.042,190814,198851,3314
6,,,,2024-05-01 23:08,60,1.043,189014,197088,3285
7,,,,2024-05-01 23:09,60,1.041,184714,192356,3206
8,,,,2024-05-01 23:11,60,1.041,183856,191421,3190
9,,,,2024-05-01 23:12,60,1.067,295471,315297,5255
10,,,,2024-05-01 23:14,60,1.068,296880,317016,5284
1,,,,2024-05-01 23:16,60,1.02,91615,93434,1557
2,,,,2024-05-01 23:18,60,1.02,90299,92062,1534
3,,,,2024-05-01 23:19,60,1.02,93221,95044,1584
4,,,,2024-05-01 23:21,60,1.019,89682,91398,1523
5,,,,2024-05-01 23:22,60,1.039,172769,179457,2991
6,,,,2024-05-01 23:24,60,1.038,172097,178622,2977
7,,,,2024-05-01 23:25,60,1.037,167762,174019,2900
8,,,,2024-05-01 23:27,60,1.037,167077,173250,2887
9,,,,2024-05-01 23:28,60,1.061,269477,285939,4766
10,,,,2024-05-01 23:30,60,1.062,271972,288725,4812
1,,,,2024-05-01 23:32,60,1.018,83987,85515,1425
2,,,,2024-05-01 23:34,60,1.018,82246,83700,1395
3,,,,2024-05-01 23:35,60,1.018,84104,85654,1428
4,,,,2024-05-01 23:37,60,1.018,81729,83182,1386
5,,,,2024-05-01 23:38,60,1.035,156986,162426,2707
6,,,,2024-05-01 23:39,60,1.035,156696,162138,2702
7,,,,2024-05-01 23:41,60,1.033,152321,157401,2623
8,,,,2024-05-01 23:42,60,1.033,151641,156701,2612
9,,,,2024-05-01 23:44,60,1.055,245030,258617,4310
10,,,,2024-05-01 23:45,60,1.055,247273,260982,4350
