Hidex total (g),Hidex tare (g),Hidex sample mass (g),Manual total (g),Manual tare (g),Manual sample mass (g)
6.3442,5.9976,0.3466,3.70358,3.39787,0.30571
6.362,6.0244,0.3376,3.68182,3.37984,0.30198
6.4156,6.0718,0.3438,3.73828,3.42543,0.31285
6.3584,6.0145,0.3439,3.68468,3.37898,0.3057
6.565,5.9141,0.6509,4.0268,3.41934,0.60746
6.6466,5.9963,0.6503,3.99831,3.38902,0.60929
6.5358,5.8909,0.6449,3.98766,3.38566,0.602
6.5732,5.924,0.6492,4.02249,3.4174,0.60509
6.9008,5.8396,1.0612,4.42428,3.4096,1.01468
7.1005,6.0185,1.082,4.4624,3.42982,1.03258
