Total mass (g),Tare (g),Sample mass (g),Time,Counted time (s),Dead time factor,¹⁸F (counts),¹⁸F (CPM),Normalized ¹⁸F (CPM)
8.6639,8.4844,0.1795,2021-10-20 12:47,60,1.011,"52,371","52,961","66,965"
8.6719,8.4610,0.2109,2021-10-20 12:49,60,1.011,"51,037","51,610","66,033"
8.7629,8.4844,0.2785,2021-10-20 13:04,60,1.010,"46,878","47,356","66,397"
8.7704,8.4610,0.3094,2021-10-20 13:06,60,1.010,"46,174","46,639","66,179"
8.8618,8.4844,0.3774,2021-10-20 13:16,60,1.010,"43,658","44,073","66,686"
8.8699,8.4610,0.4089,2021-10-20 13:18,60,1.009,"42,522","42,923","65,732"
8.9609,8.4844,0.4765,2021-10-20 13:28,60,1.009,"40,341","40,685","66,571"
8.9702,8.4610,0.5092,2021-10-20 13:30,60,1.009,"39,225","39,565","65,525"
9.1160,8.4844,0.6316,2021-10-20 13:41,60,1.008,"36,714","37,015","65,584"
9.0926,8.4610,0.6316,2021-10-20 13:43,60,1.008,"36,445","36,734","65,874"
9.2171,8.4844,0.7327,2021-10-20 13:55,60,1.007,"33,703","33,948","65,872"
9.1970,8.4610,0.7360,2021-10-20 13:57,60,1.007,"33,282","33,517","65,823"
9.3201,8.4844,0.8357,2021-10-20 14:29,60,1.006,"27,423","27,591","66,028"
9.2989,8.4610,0.8379,2021-10-20 14:30,60,1.006,"26,758","26,914","65,188"
9.4190,8.4844,0.9346,2021-10-20 14:43,60,1.006,"24,850","24,990","65,606"
9.3968,8.4610,0.9358,2021-10-20 14:45,60,1.005,"24,484","24,615","65,403"
9.5190,8.4844,1.0346,2021-10-20 14:58,60,1.005,"22,607","22,720","65,564"
9.4979,8.4610,1.0369,2021-10-20 15:00,60,1.005,"22,113","22,218","64,897"
9.6388,8.4844,1.1544,2021-10-20 15:20,60,1.004,"19,835","19,919","66,187"
9.6166,8.4610,1.1556,2021-10-20 15:23,60,1.004,"19,181","19,261","64,936"
9.7195,8.4844,1.2351,2021-10-20 15:36,60,1.004,"17,824","17,894","65,522"
9.6971,8.4610,1.2361,2021-10-20 15:38,60,1.004,"17,483","17,550","65,037"
9.8190,8.4844,1.3346,2021-10-20 15:55,60,1.003,"15,734","15,786","65,079"
9.7966,8.4610,1.3356,2021-10-20 15:57,60,1.003,"15,396","15,447","64,449"
9.9165,8.4844,1.4321,2021-10-20 16:19,60,1.003,"13,551","13,593","65,307"
9.8933,8.4610,1.4323,2021-10-20 16:21,60,1.003,"13,434","13,473","65,505"
10.0711,8.4844,1.5867,2021-10-20 16:30,60,1.003,"12,717","12,754","65,610"
10.0084,8.4610,1.5474,2021-10-20 16:33,60,1.003,"12,303","12,336","64,789"
10.2229,8.4844,1.7385,2021-10-20 16:43,60,1.003,"11,681","11,711","65,704"
10.1527,8.4610,1.6917,2021-10-20 16:45,60,1.002,"11,280","11,308","64,208"
10.3211,8.4844,1.8367,2021-10-20 16:54,60,1.002,"10,758","10,784","64,803"
10.2506,8.4610,1.7896,2021-10-20 16:56,60,1.002,"10,545","10,570","64,273"
10.4204,8.4844,1.9360,2021-10-20 17:18,60,1.002,"9,287","9,306","65,104"
10.3484,8.4610,1.8874,2021-10-20 17:20,60,1.002,"8,977","8,995","63,682"
10.5190,8.4844,2.0346,2021-10-20 17:29,60,1.002,"8,590","8,606","64,477"
10.4499,8.4610,1.9889,2021-10-20 17:31,60,1.002,"8,496","8,511","64,534"
10.6174,8.4844,2.1330,2021-10-20 17:40,60,1.002,"7,974","7,989","64,096"
10.5511,8.4610,2.0901,2021-10-20 17:42,60,1.002,"7,955","7,969","64,706"
10.7189,8.4844,2.2345,2021-10-20 17:51,60,1.002,"7,584","7,596","65,261"
10.6491,8.4610,2.1881,2021-10-20 17:53,60,1.002,"7,342","7,354","63,940"
10.8189,8.4844,2.3345,2021-10-20 18:02,60,1.002,"7,126","7,137","65,662"
10.7481,8.4610,2.2871,2021-10-20 18:04,60,1.002,"7,164","7,176","66,807"
