Total mass (g),Tare (g),Sample mass (g),Time,Counted time (s),Dead time factor,¹⁸F (counts),¹⁸F (CPM),Normalized ¹⁸F (CPM)
11.6232,11.5086,0.1146,2021-10-20 12:40,150,1.012,135828,54981,66295
8.2713,8.1631,0.1082,2021-10-20 12:43,150,1.012,135832,55002,67777
11.7254,11.5086,0.2168,2021-10-20 12:58,60,1.011,48641,49154,66361
8.3689,8.1631,0.2058,2021-10-20 13:00,60,1.011,48811,49332,67419
11.8216,11.5086,0.313,2021-10-20 13:10,60,1.01,44304,44745,65175
8.4699,8.1631,0.3068,2021-10-20 13:12,60,1.01,45347,45812,67554
11.9198,11.5086,0.4112,2021-10-20 13:22,60,1.009,41562,41935,66050
8.5678,8.1631,0.4047,2021-10-20 13:24,60,1.009,41399,41774,66611
12.0442,11.5086,0.5356,2021-10-20 13:35,60,1.009,38232,38567,65842
,8.1631,,2021-10-20 13:37,60,1.008,38305,38625,66684
12.1602,11.5086,0.6516,2021-10-20 13:49,60,1.008,35363,35644,66270
8.7841,8.1631,0.621,2021-10-20 13:51,60,1.008,35105,35377,66884
12.2578,11.5086,0.7492,2021-10-20 14:02,60,1.007,32320,32554,65912
8.8662,8.1631,0.7031,2021-10-20 14:04,60,1.007,32269,32502,66629
12.3739,11.5086,0.8653,2021-10-20 14:36,60,1.006,26083,26230,65859
8.9896,8.1631,0.8265,2021-10-20 14:39,60,1.006,25946,26092,66740
12.4975,11.5086,0.9889,2021-10-20 14:51,60,1.005,23545,23668,65224
,8.1631,,2021-10-20 14:54,60,1.005,23757,23879,67141
12.6082,11.5086,1.0996,2021-10-20 15:09,60,1.005,20979,21076,64946
9.3138,8.1631,1.1507,2021-10-20 15:16,60,1.005,20613,20708,66753
12.6502,11.5086,1.1416,2021-10-20 15:28,60,1.004,18790,18870,65552
9.3419,8.1631,1.1788,2021-10-20 15:32,60,1.004,18442,18518,66065
12.833,11.5086,1.3244,2021-10-20 15:46,60,1.004,16784,16846,65776
9.4453,8.1631,1.2822,2021-10-20 15:51,60,1.004,16429,16491,66236
12.913,11.5086,1.4044,2021-10-20 16:05,60,1.003,14759,14806,65255
9.6134,8.1631,1.4503,2021-10-20 16:15,60,1.003,13849,13892,65037
13.013,11.5086,,2021-10-20 16:24,60,1.003,13016,13054,64818
9.7134,8.1631,,2021-10-20 16:26,60,1.003,13243,13280,66579
13.113,11.5086,,2021-10-20 16:37,60,1.003,11921,11953,64259
9.8134,8.1631,,2021-10-20 16:38,60,1.003,12147,12179,66107
13.213,11.5086,,2021-10-20 16:49,60,1.002,11145,11172,64797
9.9134,8.1631,,2021-10-20 16:50,60,1.003,11379,11407,66799
13.313,11.5086,,,,,,,
10.0134,8.1631,,,,,,,
13.413,11.5086,,2021-10-20 17:13,60,1.002,9664,9685,65413
10.1134,8.1631,,2021-10-20 17:14,60,1.002,9744,9765,66593
13.513,11.5086,,2021-10-20 17:24,60,1.002,9110,9128,66008
10.2134,8.1631,,2021-10-20 17:25,60,1.002,9032,9049,66068
13.613,11.5086,,2021-10-20 17:34,60,1.002,8327,8342,64599
10.3134,8.1631,,2021-10-20 17:36,60,1.002,8478,8494,66409
13.713,11.5086,,2021-10-20 17:45,60,1.002,7708,7721,64029
10.4134,8.1631,,2021-10-20 17:47,60,1.002,7608,7620,63800
13.813,11.5086,,2021-10-20 17:56,60,1.002,7346,7358,65340
10.5134,8.1631,,2021-10-20 17:58,60,1.002,7259,7271,65187
13.913,11.5086,,2021-10-20 18:07,60,1.002,6768,6778,64452
10.6134,8.1631,,2021-10-20 18:09,60,1.001,6698,6708,64398
14.013,11.5086,,2021-10-20 18:18,60,1.001,6365,6374,64913
10.7134,8.1631,,2021-10-20 18:19,60,1.001,6303,6312,64905
14.113,11.5086,,2021-10-20 18:29,60,1.001,5974,5982,65230
10.8134,8.1631,,2021-10-20 18:30,60,1.001,6009,6017,66244
14.213,11.5086,,2021-10-20 18:39,60,1.001,5494,5501,64217
10.9134,8.1631,,2021-10-20 18:41,60,1.001,5407,5414,63810
14.313,11.5086,,2021-10-20 18:50,60,1.001,5180,5186,64833
11.0134,8.1631,,2021-10-20 18:52,60,1.001,4968,4973,62784
14.413,11.5086,,2021-10-20 19:02,60,1.001,4900,4905,65889
11.1134,8.1631,,2021-10-20 19:03,60,1.001,4670,4675,63402
14.513,11.5086,,2021-10-20 19:13,60,1.001,4358,4362,62731
11.2134,8.1631,,2021-10-20 19:14,60,1.001,4438,4442,64508
14.613,11.5086,,2021-10-20 19:23,60,1.001,4065,4069,62669
11.3134,8.1631,,2021-10-20 19:25,60,1.001,4115,4119,64054
